groupID;featureID;featureID.1;groupID.1;gene;transcript
ENSMUSG00000035242;ENSMUST00000179620;ENSMUST00000179620.8;ENSMUSG00000035242.16;0;5,96E-32
ENSMUSG00000035242;ENSMUST00000180036;ENSMUST00000180036.8;ENSMUSG00000035242.16;0;3,33E-14
ENSMUSG00000035530;ENSMUST00000049385;ENSMUST00000049385.14;ENSMUSG00000035530.14;1,55E+07;0
ENSMUSG00000035530;ENSMUST00000132618;ENSMUST00000132618.2;ENSMUSG00000035530.14;1,55E+07;0
ENSMUSG00000036067;ENSMUST00000045702;ENSMUST00000045702.6;ENSMUSG00000036067.13;0;2,96E+00
ENSMUSG00000036067;ENSMUST00000102890;ENSMUST00000102890.11;ENSMUSG00000036067.13;0;2,05E+08
ENSMUSG00000036067;ENSMUST00000129835;ENSMUST00000129835.8;ENSMUSG00000036067.13;0;2,48E+09
ENSMUSG00000036067;ENSMUST00000145742;ENSMUST00000145742.8;ENSMUSG00000036067.13;0;1,32E-08
ENSMUSG00000036138;ENSMUST00000039784;ENSMUST00000039784.12;ENSMUSG00000036138.17;0;0
ENSMUSG00000036138;ENSMUST00000176796;ENSMUST00000176796.8;ENSMUSG00000036138.17;0;0
ENSMUSG00000036594;ENSMUST00000040655;ENSMUST00000040655.14;ENSMUSG00000036594.16;0;0
ENSMUSG00000036594;ENSMUST00000174751;ENSMUST00000174751.2;ENSMUSG00000036594.16;0;0
ENSMUSG00000036835;ENSMUST00000043898;ENSMUST00000043898.8;ENSMUSG00000036835.8;4,95E+00;0
ENSMUSG00000036835;ENSMUST00000207747;ENSMUST00000207747.2;ENSMUSG00000036835.8;4,95E+00;0
ENSMUSG00000036908;ENSMUST00000161415;ENSMUST00000161415.2;ENSMUSG00000036908.18;3,78E+06;0
ENSMUSG00000036908;ENSMUST00000162708;ENSMUST00000162708.7;ENSMUSG00000036908.18;3,78E+06;0
ENSMUSG00000037321;ENSMUST00000041633;ENSMUST00000041633.15;ENSMUSG00000037321.18;0.0139287597687827;0.0179561133479603
ENSMUSG00000037321;ENSMUST00000168351;ENSMUST00000168351.8;ENSMUSG00000037321.18;0.0139287597687827;0.0176504326114409
ENSMUSG00000037321;ENSMUST00000170086;ENSMUST00000170086.8;ENSMUSG00000037321.18;0.0139287597687827;0.0049626316212079
ENSMUSG00000037742;ENSMUST00000042235;ENSMUST00000042235.15;ENSMUSG00000037742.15;0;0
ENSMUSG00000037742;ENSMUST00000129380;ENSMUST00000129380.2;ENSMUSG00000037742.15;0;4,66E-174
ENSMUSG00000037742;ENSMUST00000144523;ENSMUST00000144523.8;ENSMUSG00000037742.15;0;1,53E-183
ENSMUSG00000037742;ENSMUST00000154207;ENSMUST00000154207.8;ENSMUSG00000037742.15;0;7,04E-85
ENSMUSG00000037742;ENSMUST00000156988;ENSMUST00000156988.2;ENSMUSG00000037742.15;0;4,17E-77
ENSMUSG00000037805;ENSMUST00000042334;ENSMUST00000042334.16;ENSMUSG00000037805.16;0.00484491802251278;0.0016552109946156
ENSMUSG00000037805;ENSMUST00000152665;ENSMUST00000152665.3;ENSMUSG00000037805.16;0.00484491802251278;0.0121454711599211
ENSMUSG00000037894;ENSMUST00000041045;ENSMUST00000041045.14;ENSMUSG00000037894.14;0.0476118878555991;0
ENSMUSG00000037894;ENSMUST00000174561;ENSMUST00000174561.8;ENSMUSG00000037894.14;0.0476118878555991;0
ENSMUSG00000037960;ENSMUST00000048946;ENSMUST00000048946.7;ENSMUSG00000037960.12;2,82E+05;0
ENSMUSG00000037960;ENSMUST00000221443;ENSMUST00000221443.2;ENSMUSG00000037960.12;2,82E+05;0
ENSMUSG00000037966;ENSMUST00000049022;ENSMUST00000049022.15;ENSMUSG00000037966.16;0;1,01E-22
ENSMUSG00000037966;ENSMUST00000120733;ENSMUST00000120733.8;ENSMUSG00000037966.16;0;2,27E-35
ENSMUSG00000037966;ENSMUST00000150555;ENSMUST00000150555.8;ENSMUSG00000037966.16;0;1,64E-13
ENSMUSG00000037966;ENSMUST00000153819;ENSMUST00000153819.2;ENSMUSG00000037966.16;0;5,97E+02
ENSMUSG00000038147;ENSMUST00000136479;ENSMUST00000136479.8;ENSMUSG00000038147.15;0.00172322926510031;0
ENSMUSG00000038147;ENSMUST00000155802;ENSMUST00000155802.9;ENSMUSG00000038147.15;0.00172322926510031;0
ENSMUSG00000038179;ENSMUST00000192024;ENSMUST00000192024.6;ENSMUSG00000038179.14;0.0031220587734134;0
ENSMUSG00000038179;ENSMUST00000192195;ENSMUST00000192195.6;ENSMUSG00000038179.14;0.0031220587734134;0
ENSMUSG00000038274;ENSMUST00000043074;ENSMUST00000043074.14;ENSMUSG00000038274.14;0;4,42E-13
ENSMUSG00000038274;ENSMUST00000178310;ENSMUST00000178310.9;ENSMUSG00000038274.14;0;1,41E-06
ENSMUSG00000038274;ENSMUST00000179142;ENSMUST00000179142.2;ENSMUSG00000038274.14;0;2,97E-54
ENSMUSG00000038274;ENSMUST00000236217;ENSMUST00000236217.2;ENSMUSG00000038274.14;0;5,13E+07
ENSMUSG00000038274;ENSMUST00000236976;ENSMUST00000236976.2;ENSMUSG00000038274.14;0;4,31E-75
ENSMUSG00000038274;ENSMUST00000237840;ENSMUST00000237840.2;ENSMUSG00000038274.14;0;6,58E-59
ENSMUSG00000038301;ENSMUST00000049152;ENSMUST00000049152.15;ENSMUSG00000038301.16;5,43E+01;6,21E+07
ENSMUSG00000038301;ENSMUST00000114439;ENSMUST00000114439.8;ENSMUSG00000038301.16;5,43E+01;1,21E+01
ENSMUSG00000038650;ENSMUST00000106033;ENSMUST00000106033.5;ENSMUSG00000038650.16;0.00115277385813828;0.00037547795466568
ENSMUSG00000038650;ENSMUST00000210314;ENSMUST00000210314.2;ENSMUSG00000038650.16;0.00115277385813828;0.00619690284509124
ENSMUSG00000038690;ENSMUST00000037056;ENSMUST00000037056.9;ENSMUSG00000038690.16;0;1,20E-15
ENSMUSG00000038690;ENSMUST00000161741;ENSMUST00000161741.8;ENSMUSG00000038690.16;0;3,70E-20
ENSMUSG00000038690;ENSMUST00000162360;ENSMUST00000162360.8;ENSMUSG00000038690.16;0;6,07E-08
ENSMUSG00000038717;ENSMUST00000043675;ENSMUST00000043675.9;ENSMUSG00000038717.10;7,06E-01;1,53E-01
ENSMUSG00000038717;ENSMUST00000216380;ENSMUST00000216380.2;ENSMUSG00000038717.10;7,06E-01;1,89E+05
ENSMUSG00000039208;ENSMUST00000036742;ENSMUST00000036742.14;ENSMUSG00000039208.16;0;0
ENSMUSG00000039208;ENSMUST00000106089;ENSMUST00000106089.8;ENSMUSG00000039208.16;0;0
ENSMUSG00000040026;ENSMUST00000006956;ENSMUST00000006956.9;ENSMUSG00000040026.9;0;0
